dimension,value,closed_signals,win_rate_pct,target_hit_rate_pct,hit_5pct_rate,hit_8pct_rate,hit_10pct_rate,avg_return_pct,avg_r_multiple
catalyst_status,NOT CHECKED,10,0.0,0.0,0.0,0.0,0.0,-11.57,-1.96
catalyst_status,ACTIVE,5,0.0,0.0,0.0,0.0,0.0,-9.86,-1.65
catalyst_status,WEAK,3,0.0,0.0,0.0,0.0,0.0,-11.17,-1.93
catalyst_status,HISTORICAL / CONTEXT,2,0.0,0.0,0.0,0.0,0.0,-16.48,-2.74
entry_model,RESISTANCE_BREAKOUT,20,0.0,0.0,0.0,0.0,0.0,-11.57,-1.96
market_regime_state,WEAK,20,0.0,0.0,0.0,0.0,0.0,-11.57,-1.96
stage,FORMING,11,0.0,0.0,0.0,0.0,0.0,-12.01,-2.02
stage,DISCOVER,9,0.0,0.0,0.0,0.0,0.0,-11.03,-1.88
theme,UNCLASSIFIED,17,0.0,0.0,0.0,0.0,0.0,-10.61,-1.8
theme,Biotechnology,2,0.0,0.0,0.0,0.0,0.0,-17.34,-2.89
theme,Gold Miners,1,0.0,0.0,0.0,0.0,0.0,-16.35,-2.72
