ticker,price,stage,technical_stage,pattern,formation_score,technical_score,risk_score,decision,market_regime_state,market_regime_score,market_regime_reason,rs20_vs_spy,rsi14,rvol,max_up_day_30d_pct,ten_pct_up_days_30d,explosive_move_30d,atr_pct,avg_dollar_volume,ema20,ema50,ema200,daily_support,daily_resistance,weekly_support,weekly_resistance,monthly_support,monthly_resistance,entry_trigger,entry_model,entry_condition,entry_buffer_pct,retest_reference,retest_distance_pct,retest_quality_score,retest_quality_reasons,ema20_slope5_pct,support_touch_count,higher_low,bullish_close,stop,stop_basis,stop_anchor,stop_anchor_distance_pct,risk_pct,swing5_low,swing10_low,target_5,target_8,target_10,rr_to_8pct,next_higher_resistance,runway_to_next_resistance_pct,runway_ok,min_runway_required_pct,effective_target,effective_target_pct,effective_rr,effective_rr_ok,min_effective_rr_required,distance_to_20d_high_pct,extension_above_20d_high_pct,avg_share_volume20,median_dollar_volume20,adr20_pct,liquidity_gate_passed,volatility_gate_passed,company_name,stage_rank,rank_score,theme,theme_etf,theme_score,theme_state,theme_bonus,theme_match_confidence,theme_match_source,theme_match_reason,sector_regime_ok,catalyst_score,catalyst_status,catalyst_type,catalyst_bias,catalyst_headline,catalyst_provider,catalyst_age_hours,catalyst_relevance,catalyst_fresh,news_freshness_status,catalyst_materiality,rejected_news_count,earnings_days,negative_catalyst_risk,final_score,final_decision,live_status,live_session_date,live_bar_at_et,live_bar_high,live_bar_low,live_price,session_high,session_low,live_vwap,live_above_vwap,opening_range_high,opening_range_low,live_above_or_high,intraday_rvol,volume_vs_9ma,opening_30m_rvol,opening_volume_spike_2x,quote_bid,quote_ask,bid_ask_spread_pct,spread_gate_passed,spread_gate_source,live_trigger_reached,live_retest_touched,live_confirmation_score,premarket_price,premarket_gap_pct,premarket_volume,premarket_status,live_trade_action,market_hunt_score,universal_10pct_gate,v4_priority_score,monitor_tier
CRM,253.04,FORMING,FORMING,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",68,86,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,31.27,72.9,0.15,22.58,1,True,4.82,3848150450.0,235.45,211.53,202.46,189.91,268.27,146.32,268.27,146.32,263.53,269.25,RESISTANCE_BREAKOUT,BREAKOUT,0.36,,,0,,,0,False,False,253.09,ATR_FALLBACK,250.95,6.8,6.0,241.75,241.75,282.71,290.79,296.17,1.33,,,False,5.0,290.79,8.0,1.33,False,2.5,6.02,0.0,16175013.0,2835074616.0,3.7,True,True,"Salesforce, Inc. Common Stock",3,74.2,Cloud Computing,SKYY,79.1,NEUTRAL,3.49,1.0,STATIC_CONSTITUENT,verified theme membership,True,38,ACTIVE,FRESH NEWS,NEUTRAL,"ServiceNow Climbs 5% as Software Sidesteps AI Selloff; Adobe Gains 4%, Salesforce Ticks Up",24/7 Wall St.,0.3,COMPANY_NAME,True,FRESH_24H,LOW,5,79.2,False,85.3,WATCHLIST,LIVE,2026-09-14,2026-09-14T10:25:00-04:00,253.2,252.28,253.2,257.49,251.5,253.9,False,257.49,251.5,False,1.25,0.39,1.36,False,252.79,253.02,0.091,True,QUOTE,False,False,20,254.4,2.7,0.0,AVAILABLE,WAIT / LIVE CONFIRMATION,87.3,True,111.96,HOT
COIN,184.53,FORMING,FORMING,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",68,92,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,26.59,52.4,0.45,10.14,1,True,6.17,1730129022.0,175.55,170.31,198.58,146.02,195.85,139.11,195.85,139.11,222.35,196.76,RESISTANCE_BREAKOUT,BREAKOUT,0.46,,,0,,,0,False,False,184.95,ATR_FALLBACK,179.69,8.68,6.0,170.39,170.39,206.6,212.5,216.44,1.33,222.35,13.01,True,5.0,212.5,8.0,1.33,False,2.5,6.13,0.0,9716873.0,1500190864.0,5.51,True,True,"Coinbase Global, Inc. - Class A Common Stock",3,78.2,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,46,STRONG,NEWS,BULLISH,"COIN, BLSH Stocks Get Analyst Upgrades With Bitcoin Recovery, CLARITY Act Odds Lifting Crypto Outlook",Stocktwits,1.2,TICKER_IN_TITLE,True,FRESH_24H,MEDIUM,7,45.2,False,87.4,WATCHLIST + CATALYST,LIVE,2026-09-14,2026-09-14T10:25:00-04:00,185.94,184.5,185.32,189.44,180.54,186.67,False,189.44,180.54,False,2.29,0.54,2.56,True,173.61,189.0,,True,LIQUIDITY_PROXY,False,False,25,181.12,3.38,0.0,AVAILABLE,WAIT / LIVE CONFIRMATION,89.9,True,110.54,HOT
BMNR,24.95,FORMING,FORMING,"20/50 uptrend, rising EMA50, near EMA200 pivot, tight range, bull flag/pullback, volume contraction",70,94,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,40.33,53.0,0.27,14.7,2,True,7.18,1073561430.0,23.35,20.96,24.66,18.11,26.97,12.8,26.97,12.8,26.91,27.11,RESISTANCE_BREAKOUT,BREAKOUT,0.53,,,0,,,0,False,False,25.49,ATR_FALLBACK,24.42,9.92,6.0,23.36,22.81,28.47,29.28,29.82,1.33,,,False,5.0,29.28,8.0,1.33,False,2.5,8.07,0.0,45302828.0,1109656541.0,6.5,True,True,"BitMine Immersion Technologies, Inc. Common Stock",3,79.8,UNCLASSIFIED,,0.0,NONE,0.0,0.55,SUMMARY_KEYWORD,gas,True,38,ACTIVE,FRESH NEWS,NEUTRAL,Bitmine Purchases Another $68 Million Of Ethereum,CryptoProwl,0.4,COMPANY_NAME,True,FRESH_24H,LOW,8,67.2,False,87.4,WATCHLIST,LIVE,2026-09-14,2026-09-14T10:25:00-04:00,25.11,24.88,25.08,25.56,24.5,25.09,False,25.35,24.5,False,0.86,1.02,0.95,False,,,,True,LIQUIDITY_PROXY,False,False,0,24.52,-2.5,0.0,AVAILABLE,WAIT / LIVE CONFIRMATION,87.4,True,105.36,HOT
HALO,106.94,FORMING,FORMING,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, bull flag/pullback, volume contraction",76,94,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,10.69,44.0,0.08,20.24,1,True,2.29,163897567.0,105.33,96.11,80.04,98.58,111.15,68.27,111.15,61.33,109.66,111.35,RESISTANCE_BREAKOUT,BREAKOUT,0.18,,,0,,,0,False,False,105.63,SWING5,106.07,4.74,5.13,106.07,103.47,116.91,120.25,122.48,1.56,,,False,5.0,120.25,8.0,1.56,False,2.5,3.94,0.0,1526657.0,175381046.0,2.39,True,True,"Halozyme Therapeutics, Inc. - Common Stock",3,76.4,Biotechnology,XBI,62.9,STRONG,1.47,0.95,INDUSTRY,biotechnology -> biotechnology,True,20,HISTORICAL / CONTEXT,HISTORICAL NEWS,NEUTRAL,Halozyme Investor Conferences Put ENHANZE and Expanded Drug Delivery Portfolio in Focus,InvestorsHub,287.8,COMPANY_NAME,False,HISTORICAL,LOW,6,49.2,False,81.9,WATCHLIST,LIVE,2026-09-14,2026-09-14T10:25:00-04:00,106.95,106.84,106.84,108.42,106.65,107.37,False,108.42,106.94,False,1.03,0.34,1.04,False,101.65,107.06,,True,LIQUIDITY_PROXY,False,False,0,107.99,0.74,0.0,AVAILABLE,WAIT / ACTIVE CATALYST REQUIRED,81.9,True,102.57,HOT
ANF,142.14,FORMING,FORMING,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",60,84,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,33.75,66.8,0.11,35.67,1,True,6.42,338351259.0,134.81,118.47,99.27,100.43,155.22,83.98,155.22,69.68,154.58,155.95,RESISTANCE_BREAKOUT,BREAKOUT,0.47,,,0,,,0,False,False,146.59,ATR_FALLBACK,142.27,8.77,6.0,142.5,136.17,163.75,168.43,171.54,1.33,,,False,5.0,168.43,8.0,1.33,False,2.5,9.2,0.0,2423880.0,220709229.0,4.87,True,True,Abercrombie & Fitch Company Common Stock,3,71.4,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,38,ACTIVE,FRESH NEWS,NEUTRAL,Has Abercrombie & Fitch (ANF) Outpaced Other Retail-Wholesale Stocks This Year?,Zacks,0.8,COMPANY_NAME,True,FRESH_24H,LOW,7,71.9,False,79.0,WATCHLIST,LIVE,2026-09-14,2026-09-14T10:25:00-04:00,142.57,142.14,142.37,144.95,141.04,142.94,False,144.95,141.04,False,1.05,0.37,1.05,False,142.51,142.81,0.21,True,QUOTE,False,False,0,144.03,-0.83,0.0,AVAILABLE,WAIT / LIVE CONFIRMATION,79.0,True,101.16,HOT
DOCU,67.03,FORMING,FORMING,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",68,92,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,10.34,60.0,0.19,10.31,1,True,4.12,205817321.0,63.72,59.01,56.95,58.73,70.4,42.25,70.4,41.37,66.33,70.62,RESISTANCE_BREAKOUT,BREAKOUT,0.31,,,0,,,0,False,False,66.38,ATR_FALLBACK,66.48,5.86,6.0,63.63,63.6,74.15,76.27,77.68,1.33,,,False,5.0,76.27,8.0,1.33,False,2.5,5.03,0.0,3206711.0,187700011.0,3.62,True,True,"DocuSign, Inc. - Common Stock",3,73.3,UNCLASSIFIED,,0.0,NONE,0.0,0.55,SUMMARY_KEYWORD,automation,True,38,ACTIVE,FRESH NEWS,NEUTRAL,DocuSign's 2026 Outlook: Artificial Intelligence Drives Future Revenue Growth,Motley Fool,16.5,COMPANY_NAME,True,FRESH_24H,LOW,3,80.2,False,80.9,WATCHLIST,LIVE,2026-09-14,2026-09-14T10:25:00-04:00,67.08,66.93,67.03,68.0,66.45,67.48,False,67.98,66.45,False,1.49,0.35,1.64,False,64.25,71.36,,True,LIQUIDITY_PROXY,False,False,20,67.2,2.36,0.0,AVAILABLE,WAIT / LIVE CONFIRMATION,82.9,True,101.02,HOT
CRWD,232.25,FORMING,FORMING,"20/50 uptrend, rising EMA50, compressed below 20d resistance, tight range, volume contraction",58,78,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,9.35,64.3,0.76,20.5,2,True,6.33,2199978739.0,210.63,200.55,159.21,181.24,233.88,165.5,233.88,90.45,233.88,235.06,RESISTANCE_BREAKOUT,BREAKOUT,0.5,,,0,,,0,False,False,220.95,ATR_FALLBACK,213.0,9.38,6.0,204.27,200.6,246.81,253.86,258.56,1.33,,,False,5.0,253.86,8.0,1.33,False,2.5,0.7,0.0,10429256.0,1733195487.0,5.43,True,True,"CrowdStrike Holdings, Inc. - Class A Common Stock",3,61.7,Cybersecurity,HACK,100.0,LEADING,6.0,1.0,STATIC_CONSTITUENT,verified theme membership,True,41,ACTIVE,NEWS,BULLISH,CrowdStrike Expands AI Capabilities With Autonomous Product Launch. What This Means for CRWD Stock.,Barchart,25.5,COMPANY_NAME,True,FRESH_72H,HIGH,4,78.2,False,75.9,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,75.9,True,98.94,HOT
IOVA,8.77,FORMING,FORMING,"20/50 uptrend, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback",58,82,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,27.87,60.9,0.12,43.09,3,True,4.54,113964946.0,8.03,6.78,4.57,6.7,9.36,3.76,9.36,3.18,9.36,9.39,RESISTANCE_BREAKOUT,BREAKOUT,0.34,,,0,,,0,False,False,8.83,ATR_FALLBACK,8.79,6.36,6.0,8.04,7.66,9.86,10.14,10.33,1.33,,,False,5.0,10.14,8.0,1.33,False,2.5,6.79,0.0,13700327.0,99735335.0,6.33,True,True,"Iovance Biotherapeutics, Inc. - Common Stock",3,69.6,Biotechnology,XBI,62.9,STRONG,1.55,1.0,STATIC_CONSTITUENT,verified theme membership,True,20,HISTORICAL / CONTEXT,HISTORICAL NEWS,NEUTRAL,"Zacks Industry Outlook Halozyme, Repligen, Iovance, Arcutis and Precigen",Zacks,438.0,COMPANY_NAME,False,HISTORICAL,LOW,3,51.9,False,75.1,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,75.1,True,96.14,HOT
CAI,24.59,FORMING,FORMING,"20/50 uptrend, rising EMA50, tight range, bull flag/pullback, volume contraction, low-volume pullback",60,78,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,15.1,39.7,0.07,21.58,2,True,5.03,120454879.0,24.09,21.87,21.82,20.78,28.32,15.11,28.32,14.19,28.32,28.42,RESISTANCE_BREAKOUT,BREAKOUT,0.35,,,0,,,0,False,False,26.71,ATR_FALLBACK,26.56,6.53,6.0,23.2,23.2,29.84,30.69,31.26,1.33,,,False,5.0,30.69,8.0,1.33,False,2.5,15.17,0.0,4788740.0,115943572.0,5.03,True,True,"Caris Life Sciences, Inc. - Common Stock",3,65.0,Biotechnology,XBI,62.9,STRONG,1.47,0.95,INDUSTRY,biotechnology -> biotechnology,True,20,HISTORICAL / CONTEXT,HISTORICAL NEWS,NEUTRAL,Could Caris Life Sciences (CAI) Be 7% Undervalued After Its Lung Cancer Research Update?,Simply Wall St.,196.3,COMPANY_NAME,False,HISTORICAL,LOW,2,51.2,False,70.5,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,70.5,True,89.44,HOT
TEM,58.77,FORMING,FORMING,"above EMA50, rising EMA50, near EMA50 support, near EMA200 pivot, tight range, volume contraction",62,80,35,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,15.1,33.9,0.11,24.09,2,True,6.98,506817595.0,60.84,57.44,58.91,49.35,72.96,40.77,72.96,40.77,72.96,73.29,RESISTANCE_BREAKOUT,BREAKOUT,0.45,,,0,,,0,False,False,68.89,ATR_FALLBACK,67.13,8.4,6.0,58.02,58.02,76.95,79.15,80.62,1.33,,,False,5.0,79.15,8.0,1.33,False,2.5,24.14,0.0,7850918.0,373437521.0,6.99,True,True,"Tempus AI, Inc. - Class A Common Stock",3,66.7,UNCLASSIFIED,,0.0,NONE,0.0,0.55,SUMMARY_KEYWORD,genomic,True,22,WEAK,CONTEXT NEWS,NEUTRAL,The Cure for Cancer is Becoming an Investable Opportunity: Analyst Sees $600 Million for Tempus AI,BeInCrypto,156.7,COMPANY_NAME,False,CONTEXT_7D,LOW,7,50.2,False,71.1,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,71.1,True,87.76,HOT
ARE,51.44,FORMING,FORMING,"20/50 uptrend, rising EMA50, near EMA50 support, near EMA200 pivot, volume contraction, low-volume pullback",68,82,20,WATCHLIST,WEAK,32.0,price<EMA20; EMA20>EMA50; EMA20 falling,9.16,36.1,0.08,10.27,1,True,3.15,96464540.0,51.18,50.68,52.94,45.78,54.71,45.78,55.74,38.9,55.74,54.84,RESISTANCE_BREAKOUT,BREAKOUT,0.24,,,0,,,0,False,False,52.12,ATR_FALLBACK,52.41,4.44,4.97,49.23,49.23,57.58,59.23,60.32,1.61,55.74,1.64,False,5.0,55.74,1.64,0.33,False,2.5,6.36,0.0,1874405.0,93663113.0,3.56,True,True,"Alexandria Real Estate Equities, Inc. Common Stock",3,68.5,UNCLASSIFIED,,0.0,NONE,0.0,0.0,NONE,,True,22,WEAK,CONTEXT NEWS,NEUTRAL,"Alexandria Real Estate Chief Accounting Officer Sells 10,000 Shares",Motley Fool,108.6,COMPANY_NAME,False,CONTEXT_7D,LOW,1,42.2,False,72.9,WATCHLIST,NOT CHECKED,,,,,,,,,False,,,False,,,,False,,,,False,NONE,False,False,0,,,,NOT CHECKED,NO LIVE SIGNAL,72.9,True,86.11,HOT
