signal_id,ticker,first_seen_et,last_seen_et,stage,entry_trigger,stop,effective_target,effective_rr,entry_model,entry_condition,market_regime_state,theme,theme_score,catalyst_status,catalyst_score,technical_score,formation_score,final_score,market_hunt_score,live_confirmation_score,pattern,paper_state,last_price,triggered_at_et,live_confirmed_at_et,closed_at_et,outcome,return_pct,r_multiple,max_price_seen,min_price_seen,mfe_pct,mae_pct,hit_5pct,hit_8pct,hit_10pct
COIN|196.8800|185.0700,COIN,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,FORMING,196.88,185.07,212.63,1.33,RESISTANCE_BREAKOUT,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,84,60,,74.2,75,"20/50 uptrend, rising EMA50, near EMA200 pivot, compressed below 20d resistance, 20d volume expansion",FORMING,194.27,,,,,,,196.21,177.67,-0.34,-9.76,False,False,False
SG|7.4400|6.9900,SG,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,FORMING,7.44,6.99,8.03,1.33,RESISTANCE_BREAKOUT,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,84,64,,72.4,55,"above EMA50, rising EMA50, compressed below 20d resistance, tight range, bull flag/pullback, volume expanding",FORMING,7.22,,,,,,,7.26,6.92,-2.42,-6.99,False,False,False
HUT|102.4400|96.2900,HUT,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,FORMING,102.44,96.29,110.63,1.33,RESISTANCE_BREAKOUT,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,80,56,,71.5,75,"rising EMA50, compressed below 20d resistance, tight range, bull flag/pullback, 20d volume expansion",FORMING,98.78,,,,,,,99.01,90.32,-3.35,-11.83,False,False,False
INBX|131.7000|123.8000,INBX,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,FORMING,131.7,123.8,142.24,1.33,RESISTANCE_BREAKOUT,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,74,56,,66.8,80,"above EMA50, rising EMA50, bull flag/pullback, volume contraction, low-volume pullback, volume expanding",FORMING,110.0,,,,,,,110.39,105.04,-16.18,-20.24,False,False,False
RXRX|3.8300|3.6000,RXRX,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,FORMING,3.83,3.6,4.09,1.13,CONFIRMED_MARKET,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,46,34,,51.8,75,"20/50 uptrend, rising EMA50, 20d volume expansion, fresh breakout, effective R/R 1.13 < 2.50",FORMING,3.83,,,,,,,3.83,3.5,0.0,-8.62,False,False,False
RIOT|23.7500|22.3200,RIOT,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,FORMING,23.75,22.32,25.65,1.33,CONFIRMED_MARKET,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,38,26,,47.9,75,"above EMA50, rising EMA50, 20d volume expansion, fresh breakout, effective R/R 1.33 < 2.50",FORMING,23.75,,,,,,,24.08,22.2,1.39,-6.53,False,False,False
BTDR|12.9700|12.1900,BTDR,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,FORMING,12.97,12.19,14.01,1.33,CONFIRMED_MARKET,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,28,16,,43.4,100,"rising EMA50, 20d volume expansion, fresh breakout, effective R/R 1.33 < 2.50",FORMING,12.99,,,,,,,12.99,11.43,0.15,-11.87,False,False,False
HIVE|3.4100|3.2100,HIVE,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,FORMING,3.41,3.21,3.68,1.33,CONFIRMED_MARKET,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,28,26,,43.4,100,"above EMA50, rising EMA50, 20d volume expansion, fresh breakout, effective R/R 1.33 < 2.50",FORMING,3.41,,,,,,,3.43,3.14,0.59,-7.92,False,False,False
CLSK|14.4700|13.6000,CLSK,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,FORMING,14.47,13.6,15.63,1.33,CONFIRMED_MARKET,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,28,16,,42.9,100,"rising EMA50, 20d volume expansion, fresh breakout, effective R/R 1.33 < 2.50",FORMING,14.48,,,,,,,14.49,13.39,0.14,-7.46,False,False,False
HALO|112.4500|106.2500,HALO,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,FORMING,112.45,106.25,121.45,1.45,CONFIRMED_MARKET,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,32,44,,40.8,105,"20/50 uptrend, rising EMA50, tight range, 20d volume expansion, fresh breakout, runway unknown",FORMING,112.62,,,,,,,112.65,109.38,0.18,-2.73,False,False,False
ASST|30.0900|28.2800,ASST,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,FORMING,30.09,28.28,32.5,1.33,CONFIRMED_MARKET,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,38,44,,39.1,80,"20/50 uptrend, rising EMA50, tight range, 20d volume expansion, fresh breakout, runway unknown",FORMING,30.11,,,,,,,30.38,29.33,0.96,-2.53,False,False,False
FORM|118.3800|111.5200,FORM,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,FORMING,118.38,111.52,127.85,1.38,CONFIRMED_MARKET,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,12,8,,33.2,75,"20d volume expansion, fresh breakout, effective R/R 1.38 < 2.50",FORMING,118.33,,,,,,,118.67,113.71,0.24,-3.94,False,False,False
SBET|9.5400|8.9700,SBET,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,DISCOVER,9.54,8.97,10.31,1.33,RESISTANCE_BREAKOUT,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,74,50,,68.7,75,"20/50 uptrend, rising EMA50, compressed below 20d resistance, 20d volume expansion",DISCOVER,9.35,,,,,,,9.36,8.58,-1.89,-10.06,False,False,False
SNDK|1815.6100|1706.6700,SNDK,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,DISCOVER,1815.61,1706.67,1960.86,1.33,RESISTANCE_BREAKOUT,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,74,50,,68.7,75,"20/50 uptrend, rising EMA50, compressed below 20d resistance, 20d volume expansion",DISCOVER,1790.85,,,,,,,1797.0,1616.0,-1.02,-10.99,False,False,False
BTBT|1.7700|1.6600,BTBT,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,DISCOVER,1.77,1.66,1.91,1.33,RESISTANCE_BREAKOUT,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,66,46,,64.3,75,"above EMA50, rising EMA50, compressed below 20d resistance, volume contraction, volume expanding",DISCOVER,1.73,,,,,,,1.74,1.56,-1.69,-11.86,False,False,False
HOOD|125.8300|118.2800,HOOD,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,DISCOVER,125.83,118.28,135.89,1.33,RESISTANCE_BREAKOUT,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,66,42,,64.1,75,"20/50 uptrend, rising EMA50, 20d volume expansion",DISCOVER,119.83,,,,,,,120.57,111.06,-4.18,-11.74,False,False,False
GLXY|27.6600|26.0000,GLXY,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,DISCOVER,27.66,26.0,29.87,1.33,RESISTANCE_BREAKOUT,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,64,44,,63.2,55,"above EMA50, rising EMA50, near EMA200 pivot, 20d volume expansion",DISCOVER,24.69,,,,,,,24.75,22.75,-10.52,-17.75,False,False,False
MU|1045.8400|983.0900,MU,2026-09-20T04:48:45-04:00,2026-09-20T04:48:45-04:00,DISCOVER,1045.84,983.09,1129.5,1.33,RESISTANCE_BREAKOUT,BREAKOUT,NEUTRAL,UNCLASSIFIED / BROAD BREAKOUT,,,,66,50,,61.8,75,"20/50 uptrend, rising EMA50, compressed below 20d resistance, 20d volume expansion",DISCOVER,1015.38,,,,,,,1016.36,977.92,-2.82,-6.49,False,False,False
