as_of_session,baseline_price,catalyst_type,daily_bars_resolved,effective_rr,effective_target,entry_model,false_breakout,forward_5d_mae_pct,forward_5d_mfe_pct,forward_hit_10pct,forward_hit_15pct,forward_hit_5pct,market_hunt_score,market_regime_state,observation_id,observed_at_utc,r_multiple_5d,return_1d_pct,return_2d_pct,return_3d_pct,return_5d_pct,selected_v3,selected_v45,source_name,stage,stop,theme,ticker,v3_rank,v45_calibrated_score,v45_model_status,v45_model_version,v45_p10_probability,v45_p15_probability,v45_p5_probability,v45_rank,selected_v5,selected_v6,selected_v7,v5_rank,v6_rank,v7_rank,technical_score,formation_score,catalyst_score,intraday_rvol,avg_share_volume20,avg_dollar_volume,median_dollar_volume20,adr20_pct,atr_pct,runway_to_next_resistance_pct,max_up_day_30d_pct,rs20_vs_spy,v5_adaptive_score,v5_p5_probability,v5_p10_probability,v5_p15_probability,v6_robust_score,v6_p5_probability,v6_p10_probability,v6_p15_probability,v6_confidence,v6_decision,return_10d_pct
2026-09-11,35.92,HISTORICAL NEWS,1,0.15,39.52,RESISTANCE_BREAKOUT,,,,,,,86.4,WEAK,2026-09-11|AGI,2026-09-13T20:53:02Z,,,,,,True,False,github-scan-data,FORMING,36.85,Gold Miners,AGI,6,,INSUFFICIENT_DATA,untrained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,145.23,FRESH NEWS,1,1.33,168.43,RESISTANCE_BREAKOUT,,,,,,,80.2,WEAK,2026-09-11|ANF,2026-09-13T20:53:02Z,,,,,,True,False,github-scan-data,FORMING,146.59,UNCLASSIFIED,ANF,14,,INSUFFICIENT_DATA,untrained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,12.17,FRESH NEWS,1,0.83,12.87,RESISTANCE_BREAKOUT,,,,,,,81.3,WEAK,2026-09-11|BGC,2026-09-13T20:53:02Z,,,,,,True,False,github-scan-data,FORMING,11.79,UNCLASSIFIED,BGC,12,,INSUFFICIENT_DATA,untrained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,25.03,FRESH NEWS,1,1.33,29.22,RESISTANCE_BREAKOUT,,,,,,,91.4,WEAK,2026-09-11|BMNR,2026-09-13T20:53:02Z,,,,,,True,False,github-scan-data,FORMING,25.44,UNCLASSIFIED,BMNR,1,,INSUFFICIENT_DATA,untrained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,5.03,CONTEXT NEWS,1,0.68,5.34,RESISTANCE_BREAKOUT,,,,,,,77.3,WEAK,2026-09-11|BTE,2026-09-13T20:53:02Z,,,,,,True,False,github-scan-data,FORMING,4.83,Energy,BTE,20,,INSUFFICIENT_DATA,untrained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,107.84,FRESH NEWS,1,1.36,120.13,RESISTANCE_BREAKOUT,,,,,,,80.2,WEAK,2026-09-11|DINO,2026-09-13T20:53:02Z,,,,,,True,False,github-scan-data,FORMING,104.68,Energy,DINO,15,,INSUFFICIENT_DATA,untrained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,76.1,CONTEXT NEWS,1,1.33,84.4,RESISTANCE_BREAKOUT,,,,,,,77.8,WEAK,2026-09-11|DK,2026-09-13T20:53:02Z,,,,,,True,False,github-scan-data,FORMING,73.46,Energy,DK,19,,INSUFFICIENT_DATA,untrained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,117.91,HISTORICAL NEWS,1,1.35,131.62,RESISTANCE_BREAKOUT,,,,,,,89.9,WEAK,2026-09-11|EPAM,2026-09-13T20:53:02Z,,,,,,True,False,github-scan-data,FORMING,114.66,UNCLASSIFIED,EPAM,3,,INSUFFICIENT_DATA,untrained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,52.89,HISTORICAL NEWS,1,0.93,55.23,RESISTANCE_BREAKOUT,,,,,,,81.8,WEAK,2026-09-11|GLNG,2026-09-13T20:53:02Z,,,,,,True,False,github-scan-data,FORMING,51.52,Energy,GLNG,11,,INSUFFICIENT_DATA,untrained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-09-11,24.4,NEWS,1,1.33,29.87,RESISTANCE_BREAKOUT,,,,,,,90.6,WEAK,2026-09-11|GLXY,2026-09-13T20:53:02Z,,,,,,True,False,github-scan-data,FORMING,26.0,UNCLASSIFIED,GLXY,2,,INSUFFICIENT_DATA,untrained,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
